INFO      [11:03:36.939] [main           ] [workshop.util.model.wot.WoT_T           ] [WoT_T.java          ] [   76] - Thing description: '{"@type":["MultiLevelSensor"],"name":"AirQuality_Sensor","description":"A web connected air quality sensor","links":[{"rel":"properties","href":"/things/airqualitysensor/properties"},{"rel":"actions","href":"/things/airqualitysensor/actions"},{"rel":"events","href":"/things/airqualitysensor/events"}],"href":"/things/airqualitysensor","@context":"https://iot.mozilla.org/schemas","actions":{},"properties":{"level":{"unit":"ppm","@type":"LevelProperty","description":"The current air quality in parts per million","maximum":1000,"readOnly":true,"links":[{"href":"/things/airqualitysensor/properties/level"}],"title":"Air quality","type":"number","minimum":0}},"events":{}}'
INFO      [11:03:36.941] [main           ] [workshop.util.model.wot.WoT_T           ] [WoT_T.java          ] [   72] - ########################################
INFO      [11:03:36.941] [main           ] [workshop.util.model.wot.WoT_T           ] [WoT_T.java          ] [   74] - Thing name: 'AirPressure_Sensor'
INFO      [11:03:36.941] [main           ] [workshop.util.model.wot.WoT_T           ] [WoT_T.java          ] [   76] - Thing description: '{"@type":["MultiLevelSensor"],"name":"AirPressure_Sensor","description":"A web connected air pressure sensor","links":[{"rel":"properties","href":"/things/airpressuresensor/properties"},{"rel":"actions","href":"/things/airpressuresensor/actions"},{"rel":"events","href":"/things/airpressuresensor/events"}],"href":"/things/airpressuresensor","@context":"https://iot.mozilla.org/schemas","actions":{},"properties":{"level":{"unit":"hPa","@type":"LevelProperty","description":"The current air pressure in hPa","maximum":1100,"readOnly":true,"links":[{"href":"/things/airpressuresensor/properties/level"}],"title":"Air pressure","type":"number","minimum":300}},"events":{}}'
INFO      [11:03:36.942] [main           ] [workshop.util.model.wot.WoT_T           ] [WoT_T.java          ] [   72] - ########################################
INFO      [11:03:36.942] [main           ] [workshop.util.model.wot.WoT_T           ] [WoT_T.java          ] [   74] - Thing name: 'Button_Sensor'
INFO      [11:03:36.942] [main           ] [workshop.util.model.wot.WoT_T           ] [WoT_T.java          ] [   76] - Thing description: '{"@type":["PushButton"],"name":"Button_Sensor","description":"A push button","links":[{"rel":"properties","href":"/things/pushbutton/properties"},{"rel":"actions","href":"/things/pushbutton/actions"},{"rel":"events","href":"/things/pushbutton/events"}],"href":"/things/pushbutton","@context":"https://iot.mozilla.org/schemas","actions":{},"properties":{"pushed":{"@type":"PushedProperty","description":"The current active / inactive state","readOnly":true,"links":[{"href":"/things/pushbutton/properties/pushed"}],"state":"true or false","title":"Button sensor","type":"boolean"}},"events":{"pressed":{"@type":"PressedEvent","description":"The button was pressed","links":[{"href":"/things/pushbutton/events/pressed"}],"state":"true or false","type":"boolean"}}}'
INFO      [11:03:36.944] [main           ] [workshop.util.model.wot.WoT_T           ] [WoT_T.java          ] [   72] - ########################################
INFO      [11:03:36.944] [main           ] [workshop.util.model.wot.WoT_T           ] [WoT_T.java          ] [   74] - Thing name: 'Jalousie'
INFO      [11:03:36.944] [main           ] [workshop.util.model.wot.WoT_T           ] [WoT_T.java          ] [   76] - Thing description: '{"@type":["MultiLevelSwitch"],"name":"Jalousie","description":"A web connected jalousie","links":[{"rel":"properties","href":"/things/jalousie/properties"},{"rel":"actions","href":"/things/jalousie/actions"},{"rel":"events","href":"/things/jalousie/events"}],"href":"/things/jalousie","@context":"https://iot.mozilla.org/schemas","actions":{"fade":{"input":{"type":"object","required":["position","duration"],"properties":{"duration":{"unit":"milliseconds","type":"integer","minimum":1},"position":{"unit":"percent","maximum":100,"type":"integer","minimum":0}}},"@type":"FadeAction","description":"Fade the jalousie to a given level","links":[{"href":"/things/jalousie/actions/fade"}],"title":"Fade"}},"properties":{"position":{"unit":"percent","@type":"LevelProperty","description":"The position of the jalousie from 0-100","maximum":100,"links":[{"href":"/things/jalousie/properties/position"}],"title":"Jalousie","type":"integer","minimum":0},"open":{"@type":"OpenProperty","description":"Whether the jalousie is open or closed","links":[{"href":"/things/jalousie/properties/open"}],"title":"Open/Closed","type":"boolean"}},"events":{}}'
